id,title,artist,count,year,duration,loudness,tempo,time_signature,key,danceability,energy,valence,explicit
5Bvhk3wx42kkDEggSQIwqL,Favorite Song,Toosii,27,2023,204.0,-9.34,116.029,4.0,2.0,0.814,0.38,0.434,False
6CThut6kPrjot0pTJOTEer,Truck Bed,HARDY,27,2023,167.53477,-4.88,132.058,4.0,0.0,0.663,0.77,0.772,True
1rXq0uoV4KTgRN64jXzIxo,One Thing At A Time,Morgan Wallen,27,2023,206.86453,-5.187,141.982,4.0,7.0,0.613,0.923,0.893,False
5IgjP7X4th6nMNDh4akUHb,Under The Influence,Chris Brown,26,2023,184.61333,-8.947,116.931,4.0,9.0,0.755,0.562,0.368,True
6UN73IYd0hZxLi8wFPMQij,Players,Coi Leray,26,2023,139.56,-5.74,105.004,4.0,6.0,0.948,0.512,0.599,True
1vYXt7VSjH9JIM5oRRo7vA,Dance The Night,Dua Lipa,26,2023,176.57932,-4.93,110.056,4.0,11.0,0.671,0.845,0.775,False
4rXLjWdF2ZZpXCVTfWcshS,Fukumean,Gunna,26,2023,125.04,-6.747,130.001,4.0,1.0,0.847,0.622,0.22,True
1TE8AAk9koG0UJco6ZAUfx,Rock And A Hard Place,Bailey Zimmerman,26,2023,207.54095,-7.3,121.991,3.0,1.0,0.582,0.568,0.394,False
0bILU0UiNDmA5Ff6whhb2R,Religiously,Bailey Zimmerman,25,2023,178.7234,-6.519,140.924,4.0,1.0,0.57,0.67,0.593,False
4gXHG9domIKO6FIViDISA4,Cupid,Fifty Fifty,25,2023,174.11624,-5.72,120.001,4.0,11.0,0.775,0.646,0.724,False
30LZU3ReFIndjHLfaahreM,Save Me,Jelly Roll With Lainey Wilson,25,2023,237.49333,-5.018,83.03,3.0,0.0,0.564,0.612,0.146,False
6DLbBlGIOjjEj0dNN25zhZ,Tennessee Orange,Megan Moroney,25,2023,223.11974,-6.637,156.031,3.0,9.0,0.38,0.488,0.268,False
7KokYm8cMIXCsGVmUvKtqf,Karma,Taylor Swift,24,2023,204.8523,-7.108,90.008,4.0,8.0,0.64,0.619,0.121,True
6HgWWaMu31KdOpEG5l28BG,All My Life,Lil Durk Featuring J. Cole,24,2023,223.8785,-5.881,142.974,4.0,3.0,0.787,0.57,0.733,True
1kuGVB7EU95pJObxwvfwKS,Vampire,Olivia Rodrigo,23,2023,219.72408,-5.821,136.848,4.0,5.0,0.484,0.53,0.323,True
2KtGiBi5CrX2ERPD2PAS34,Dancin' In The Country,Tyler Hubbard,23,2023,179.64,-4.614,114.974,4.0,7.0,0.657,0.871,0.532,False
6wf7Yu7cxBSPrRlWeSeK0Q,What Was I Made For?,Billie Eilish,23,2023,222.36957,-17.843,79.449,4.0,0.0,0.391,0.084,0.111,False
22VHOlVYBqytsrAqV8yXBK,Dial Drunk,Noah Kahan,23,2023,213.81728,-7.193,112.108,4.0,8.0,0.669,0.606,0.69,True
2UW7JaomAMuX9pZrjVpHAU,La Bebe,Yng Lvcas x Peso Pluma,23,2023,234.35297,-5.678,169.922,4.0,2.0,0.812,0.479,0.559,True
3dnP0JxCgygwQH9Gm7q7nb,Ella Baila Sola,Eslabon Armado X Peso Pluma,23,2023,165.67116,-5.176,147.989,3.0,5.0,0.668,0.758,0.834,False
4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry Styles,23,2023,167.30318,-5.338,173.93,4.0,6.0,0.52,0.731,0.662,False
